SL_NO,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,PROXIMITY,LIGHT,TIME,CONTEXT
5,-1.2868834,5.3965306,8.167819,-0.0047935485,-0.030891757,-0.0069240145,-5.025,-41.193752,-16.03125,5.0,6.8725,12:03:24.074196,INDOOR
6,-1.2276269,5.3558292,8.131308,0.042742476,0.030891757,-0.10812115,-5.55,-41.568752,-15.69375,5.0,7.185,12:03:24.379539,INDOOR
7,-1.003769,5.070919,8.583213,0.1320889,-0.05712312,6.657706E-4,-5.5687504,-41.8125,-15.1125,5.0,6.8725,12:03:24.686014,INDOOR
8,-0.95947635,5.4725466,7.776367,0.25538963,0.19600287,0.10572438,-7.0125003,-41.175003,-14.681251,5.0,5.9362497,12:03:24.996874,INDOOR
9,-0.27712885,6.522404,6.895301,0.3286244,-0.6608439,0.043807708,-8.175,-40.575,-13.275001,5.0,3.74875,12:03:25.199351,INDOOR
10,-0.0023942017,6.7684083,7.27957,-0.24247366,-0.69892603,0.089879036,-10.481251,-39.956253,-11.925,5.0,1.875,12:03:25.507703,INDOOR
11,1.3551182,5.81372,7.643489,-0.2804226,0.14700216,-0.03328853,-11.681251,-38.381252,-9.31875,5.0,0.9375,12:03:25.737203,INDOOR
12,1.234211,5.145738,8.451532,-0.38494858,0.104259685,-0.23009034,-14.437501,-37.050003,-8.56875,5.0,1.5625,12:03:26.119970,INDOOR
13,-0.2873042,5.33907,8.776545,-0.40438908,0.6339468,-0.13315412,-15.450001,-34.95,-7.8187504,5.0,5.9362497,12:03:26.338573,INDOOR
14,-1.2354081,2.6234465,12.609063,-0.7701635,0.016377958,0.16937205,-15.056251,-35.11875,-6.76875,5.0,13.74625,12:03:26.647013,INDOOR
15,-1.6962919,1.4856021,12.037448,-0.58121777,0.01291595,-0.9282174,-13.762501,-35.4375,-8.00625,5.0,24.9925,12:03:26.965982,INDOOR
16,-1.8543092,2.0033484,6.963536,-0.0067908606,0.38268498,-0.07416685,-8.925,-35.34375,-12.431251,5.0,29.05375,12:03:27.144523,INDOOR
17,-2.428319,1.6472107,8.929175,-0.18388586,-0.1758966,0.39094052,-3.4875002,-35.49375,-14.437501,5.0,37.80125,12:03:27.558139,INDOOR
18,-0.29448682,1.5400703,11.3167925,0.39027476,-0.07003907,0.40998155,-1.21875,-36.9375,-17.41875,5.0,50.60875,12:03:27.759173,INDOOR
19,-0.45848963,3.2381577,8.240244,-0.017043728,0.35738567,0.22795987,0.88125,-37.706253,-18.525002,5.0,70.6025,12:03:28.066455,INDOOR
20,0.23882163,3.4243069,11.348516,0.47935486,-0.09467258,-0.4568518,3.075,-37.818752,-19.48125,5.0,109.34125,12:03:28.373971,INDOOR
21,-1.9632454,3.157952,7.5088153,0.36297816,-0.39986184,-0.6559172,3.6562502,-38.8125,-18.0,5.0,121.524994,12:03:28.578479,INDOOR
22,-1.0857705,4.531027,10.110115,0.07097115,-0.23927797,-0.53341544,5.49375,-39.975002,-16.837502,5.0,139.01875,12:03:28.987294,INDOOR
23,-1.0169371,2.5558102,9.0429,0.10572438,-0.26364517,-0.43501455,7.0125003,-40.331253,-14.700001,5.0,117.151245,12:03:29.295580,INDOOR
