SL_NO,ACCELEROMETER_X,ACCELEROMETER_Y,ACCELEROMETER_Z,GYROSCOPE_X,GYROSCOPE_Y,GYROSCOPE_Z,MAGNETIC_FIELD_X,MAGNETIC_FIELD_Y,MAGNETIC_FIELD_Z,PROXIMITY,LIGHT,TIME,CONTEXT
83,-4.8970504,6.543,-4.72305,-1.0533875,-0.536525,-1.4837625,-51.80625,-28.406252,-14.718751,0,8.283133,13:36:52,INDOOR
84,-4.8970504,6.543,-4.72305,-1.0533875,-0.536525,-1.4837625,-51.975002,-28.331251,-14.887501,0,8.283133,13:36:52,INDOOR
85,-4.8970504,6.543,-4.72305,-1.0533875,-0.536525,-1.4837625,-51.99375,-28.25625,-14.906251,0,4.518072,13:36:52,INDOOR
86,-4.8970504,6.543,-4.72305,-1.0533875,-0.536525,-1.4837625,-51.600002,-28.143751,-14.887501,0,250.75302,13:36:52,INDOOR
87,-4.8970504,6.543,-4.72305,-1.0533875,-0.536525,-1.4837625,-51.375004,-27.862501,-14.868751,0,25.60241,13:36:52,INDOOR
88,-4.8970504,6.543,-4.72305,-1.0533875,-0.536525,-1.4837625,-51.093754,-27.393751,-14.887501,0,49.698795,13:36:52,INDOOR
89,-4.8970504,6.543,-4.72305,-1.0533875,-0.536525,-1.4837625,-50.86875,-26.906252,-14.925,0,35.391567,13:36:52,INDOOR
90,-4.8970504,6.543,-4.72305,-1.0533875,-0.536525,-1.4837625,-50.60625,-26.456251,-15.01875,0,16.566265,13:36:53,INDOOR
91,-4.8970504,6.543,-4.72305,-1.0533875,-0.536525,-1.4837625,-50.04375,-25.931252,-14.981251,0,11.295181,13:36:53,INDOOR
92,-4.8970504,6.543,-4.72305,-1.0533875,-0.536525,-1.4837625,-49.893753,-25.781252,-15.000001,0,40.66265,13:36:53,INDOOR
93,-4.8970504,6.543,-4.72305,-1.0533875,-0.536525,-1.4837625,-49.312504,-25.312502,-15.093751,0,3.7650604,13:36:53,INDOOR
94,-4.8970504,6.543,-4.72305,-1.0533875,-0.536525,-1.4837625,-48.91875,-24.69375,-15.281251,0,2.259036,13:36:53,INDOOR
95,-4.8970504,6.543,-4.72305,-1.0533875,-0.536525,-1.4837625,-48.6375,-24.4125,-15.450001,0,15.813253,13:36:53,INDOOR
96,-4.8970504,6.543,-4.72305,-1.0533875,-0.536525,-1.4837625,-48.43125,-23.79375,-15.76875,0,24.849398,13:36:53,INDOOR
97,-4.8970504,6.543,-4.72305,-1.0533875,-0.536525,-1.4837625,-48.24375,-23.475,-15.95625,0,24.849398,13:36:53,INDOOR
